customer_text,actual_intent,predicted_intent,top1_similarity,top1_intent,top3_intents,top1_aligned,top3_aligned
@SpotifyCares In the middle of down with the sickness.,Other / Unclear,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | Other / Unclear | Content Availability,True,True
@SpotifyCares And I’m using the desktop version on my laptop,Other / Unclear,App & Web Player Technical,1.0,Other / Unclear,Other / Unclear | Subscription & Billing | Other / Unclear,False,False
@115888 how,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
You ok spotify ?? https://t.co/T9Ds0oa5l8,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,True,True
"It’s December tomorrow, do we get our year end Spotify info soon?? @SpotifyCares",Features & Product Feedback,Other / Unclear,0.2010761230163652,Other / Unclear,"Other / Unclear | Playlist, Library & Sync | App & Web Player Technical",True,True
@SpotifyCares Why's there a 10K limit on songs in My Library? Why not unlimited? I just switched to Spotify from another and feel duped.,Features & Product Feedback,Features & Product Feedback,1.0,Features & Product Feedback,Features & Product Feedback | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares iPhone 8plus, iOS 11.1.2, 8.4.28.1104",Other / Unclear,App & Web Player Technical,0.6612213462099594,App & Web Player Technical,App & Web Player Technical | App & Web Player Technical | App & Web Player Technical,True,True
"@116886 @SpotifyCares The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓",Features & Product Feedback,Features & Product Feedback,0.1367999899563467,Features & Product Feedback,Features & Product Feedback | Features & Product Feedback | Other / Unclear,True,True
@SpotifyCares Nothing is solved if I send you the link. Your service is still leaking customer informations.,Account & Security,Other / Unclear,0.36494799736923317,Other / Unclear,Other / Unclear | App & Web Player Technical | Other / Unclear,True,True
@SpotifyCares Checked the three dots and saw the download option and then my song appeared. It works.. but it feels hidden. Thank you for your interest :),Features & Product Feedback,Features & Product Feedback,0.9999999999999999,Features & Product Feedback,Features & Product Feedback | Other / Unclear | App & Web Player Technical,True,True
@SpotifyCares Will do!,Other / Unclear,Other / Unclear,0.33217657846648685,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,True
"@SpotifyCares @137949 I keep getting the message ""cannot play ... the connection to Spotify was lost"", what's going on?",Playback & Streaming,Other / Unclear,0.2087543710039791,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares Checked, none of these apply - unless an *automatic* update deleted them and switched off the download option?","Playlist, Library & Sync","Playlist, Library & Sync",0.22639874324558515,Features & Product Feedback,Features & Product Feedback | Features & Product Feedback | Other / Unclear,False,False
@SpotifyCares iphone 6s and i’m not sure but i’d assume the lastest update?,Other / Unclear,App & Web Player Technical,0.3986687285494207,Subscription & Billing,Subscription & Billing | App & Web Player Technical | App & Web Player Technical,False,True
Screw @115888 for the massive mobile app update. It's freaking impossible to enjoy the app without premium now and I can't afford that shit,Subscription & Billing,App & Web Player Technical,0.11937160200245255,Subscription & Billing,Subscription & Billing | Subscription & Billing | App & Web Player Technical,False,True
"@SpotifyCares Everything is up to date. Clearing the cache  reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze.Thanks!",App & Web Player Technical,App & Web Player Technical,0.1515717173085907,App & Web Player Technical,App & Web Player Technical | Other / Unclear | App & Web Player Technical,True,True
@SpotifyCares I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,App & Web Player Technical,App & Web Player Technical,0.14695166563749473,"Playlist, Library & Sync","Playlist, Library & Sync | Other / Unclear | Other / Unclear",False,False
"@SpotifyCares Nope. You want this: https://t.co/WCORfzxV4g ,But you've got this: https://t.co/8ONGp2DpNg",Other / Unclear,Other / Unclear,0.33345316699290195,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
No longer getting the student discount from @115888 even though I'm still a student... Lame :(,Subscription & Billing,Subscription & Billing,0.25204026251502515,Subscription & Billing,Subscription & Billing | Subscription & Billing | Subscription & Billing,True,True
"@115888 your latest update 1.0.69.323 is crashing during install, and will no longer let me launch the program. Please help! Music is what I need to keep my sanity ;) I’m using windows 7",App & Web Player Technical,App & Web Player Technical,1.0000000000000004,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares The “time capsule” playlist is suggesting music that I haven’t listened to in 15 years, so I am curious as to how you even know this info.",Features & Product Feedback,"Playlist, Library & Sync",1.0000000000000002,"Playlist, Library & Sync","Playlist, Library & Sync | Playlist, Library & Sync | Playlist, Library & Sync",True,True
@SpotifyCares Hey Spotify can you reply to my messages due some metadata problems? Thanks x,Other / Unclear,Other / Unclear,0.4398742395928463,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",App & Web Player Technical,Other / Unclear,0.14720638428104524,"Playlist, Library & Sync","Playlist, Library & Sync | Subscription & Billing | Other / Unclear",False,True
@SpotifyCares I'm using my facebook account as a method to log in.,Account & Security,Account & Security,0.31100448942125103,Account & Security,Account & Security | Account & Security | Other / Unclear,True,True
Hey @SpotifyCares I need some help!,Other / Unclear,Other / Unclear,0.62194536844012,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",App & Web Player Technical,App & Web Player Technical,0.3440921338114353,Other / Unclear,Other / Unclear | App & Web Player Technical | Other / Unclear,False,True
@SpotifyCares I deactivated my Facebook a few years ago and now I can't log into Spotify? I don't want to make a new email. Any tips? Thanks,Account & Security,Account & Security,0.17923282444048363,Account & Security,Account & Security | Account & Security | Other / Unclear,True,True
"WTELF...?! The song showing on @spotifycares app is not the song playing, &amp; @13281 Android app stops updating scrobbles after 2 or 3 tracks &amp; I can't restart the app to track properly. The blue hell is going on here? I'm not even using Connect FCOL! X_X;",App & Web Player Technical,App & Web Player Technical,0.17807203338657152,Playback & Streaming,Playback & Streaming | Subscription & Billing | Playback & Streaming,False,False
@SpotifyCares any idea where my search keeps going? If I close and reopen it comes back. iOS 11.1 Spotify v8.4.25.906 https://t.co/wMXRSH7jZ8,App & Web Player Technical,App & Web Player Technical,0.3644256937904817,App & Web Player Technical,App & Web Player Technical | Other / Unclear | App & Web Player Technical,True,True
"@SpotifyCares I dunno what system you use that decides which part of the song it gonna play- I love Spotify, but maybe a custom clip option?",Features & Product Feedback,Other / Unclear,0.14053078518277806,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@115888 I can't access my account. If I create a new account,how do I cancel the old one?",Account & Security,Other / Unclear,0.23272163271578353,Subscription & Billing,Subscription & Billing | Subscription & Billing | Other / Unclear,False,True
"@SpotifyCares Hi I am having problems, please see my DM. Thank you!",Other / Unclear,Other / Unclear,0.2986595736117273,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares The 2nd track follows the 1st on album &amp; has similar title but should sound like comical screaming backed w/ circus music &amp; be much shorter,Playback & Streaming,Playback & Streaming,0.1267118279849,Content Availability,Content Availability | App & Web Player Technical | Other / Unclear,False,False
Help me fam. I already paid for premium acct. For @115888 but its still in free trial?,Subscription & Billing,Subscription & Billing,0.20888467968519595,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
@SpotifyCares So 20 minutes after reinstallation data is synced but all my artists now say '0 songs'.,"Playlist, Library & Sync","Playlist, Library & Sync",0.15872695276974436,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Subscription & Billing,False,False
@SpotifyCares Ok thx for thr explanation!,Other / Unclear,Other / Unclear,0.7479914851428805,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Works. Blame IOS update.,Other / Unclear,App & Web Player Technical,1.0,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,True,True
"@115888 Hi, my wife is a UK student (has a student card) but her college is not listed. How can she get student Spotify please?",Subscription & Billing,Subscription & Billing,0.2145547855147981,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@SpotifyCares Done - but disappointed this post has been running since 2012 and nothing has been done about it.  #GiveListenersTheChoice,Features & Product Feedback,App & Web Player Technical,0.3451593970923908,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
"@SpotifyCares Thank you so much! Listen, I'm a huge spotify fan. Keep up the amazing work friends",Other / Unclear,Other / Unclear,0.6093499862814107,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares A post made in 2012, Spotify responds in 2016, and now its 2017.Doesnt seem to be on your radar or a good site for feedback.",Features & Product Feedback,Features & Product Feedback,0.19044544262406607,Other / Unclear,"Other / Unclear | Other / Unclear | Playlist, Library & Sync",False,False
@SpotifyCares Oh I know how to fix it - I just keep forgetting to switch the bloody device,Other / Unclear,Other / Unclear,0.24223031112953697,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,Other / Unclear,Other / Unclear,0.3167780559011404,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares You guys mixed up songs. Breezeblocks by Alt-J has been replaced with their other song Fitzpleasure. Both play the same song!,Playback & Streaming,Playback & Streaming,1.0000000000000004,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@SpotifyCares Thank you very much.,Other / Unclear,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,Other / Unclear,Other / Unclear,0.36744613576587426,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares How come there aren't any parents controls for family subscriptions?,Features & Product Feedback,Other / Unclear,0.23349278981522276,Other / Unclear,Other / Unclear | Playback & Streaming | Other / Unclear,True,True
@115888 what is the presale code for the @124708 concert in ATX,Other / Unclear,Other / Unclear,0.5676981277535094,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares Hi I was wondering, are there still gift cards sold at Australian stores? I can't find them anywhere anymore.",Subscription & Billing,Other / Unclear,0.27159061099967075,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,True,True
@SpotifyCares They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,Playback & Streaming,App & Web Player Technical,0.2203136314285327,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,True,True
@115888 @spotifycares Why don't you offer the same student discount to the teachers that teach the students? I'm sure @124439 would help.,Subscription & Billing,Subscription & Billing,0.2750864776936653,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,False
@SpotifyCares  All of my songs disappeared from My Songs. They're still in the playlist but I'm not able to view them. https://t.co/lP9IHtod1M,"Playlist, Library & Sync","Playlist, Library & Sync",0.325768963807396,App & Web Player Technical,"App & Web Player Technical | Playlist, Library & Sync | Playlist, Library & Sync",False,True
@SpotifyCares Can you help me,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares what does following an Artist do?,Features & Product Feedback,Other / Unclear,0.24933825836315482,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares I already tried a different browser and now I just tried incognito. No difference. Still frozen.,App & Web Player Technical,App & Web Player Technical,0.4771743023317667,App & Web Player Technical,"App & Web Player Technical | Subscription & Billing | Playlist, Library & Sync",True,True
what the fuq with your web player ? @121907 @115888 #spotifyth it keeps getting crashed all the freaking time !,App & Web Player Technical,App & Web Player Technical,0.29977607333216794,App & Web Player Technical,App & Web Player Technical | Playback & Streaming | App & Web Player Technical,True,True
@131101 @SpotifyCares I feel the same surly they can have the radio edits?  I feel this a really bad thing especially since they have “family sharing” plan.,Features & Product Feedback,Other / Unclear,0.20484794518424615,"Playlist, Library & Sync","Playlist, Library & Sync | Other / Unclear | Other / Unclear",False,True
I wish @115888 had a feature that allowed you to add artists/songs to a 'don't play ever' list. Won't name names in public. https://t.co/6cgfiKvrHA,Features & Product Feedback,Features & Product Feedback,0.18729441130131647,Features & Product Feedback,Features & Product Feedback | Features & Product Feedback | Features & Product Feedback,True,True
Look I love you &amp; all but also get your shit together and stop undownloading all my songs @115888 this $10 ain’t a joke,"Playlist, Library & Sync","Playlist, Library & Sync",0.3424244932349476,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@SpotifyCares This worked for 1 day and the release date is gone and only the year is shown.,Other / Unclear,Other / Unclear,0.2234001829838526,Other / Unclear,"Other / Unclear | Playlist, Library & Sync | Subscription & Billing",True,True
why cant you change the song on spotify from the lock screen or swipe up menu any more @SpotifyCares,Playback & Streaming,Playback & Streaming,0.23219649088025374,Playback & Streaming,Playback & Streaming | Other / Unclear | Playback & Streaming,True,True
"@117153 unable to make payment for my premium account, nothing wrong with my card as checked with the bank.",Subscription & Billing,Subscription & Billing,0.3216024607377316,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
@115888 Why can’t virgin mobile users subscribe.,Subscription & Billing,Other / Unclear,0.34901731080327747,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Thanks for your information 🙏🏼,Other / Unclear,Other / Unclear,0.49026677531794227,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,Other / Unclear,"Playlist, Library & Sync",0.20557390293403519,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,False
"Excuse me @115888 I have ✌🏽 songs that I never made available commercially, available on your service 🤔 who do I contact",Content Availability,Content Availability,0.21513121183733402,App & Web Player Technical,"App & Web Player Technical | Other / Unclear | Playlist, Library & Sync",False,False
"@SpotifyCares Nothing, same problem seems to be happening to a lot of people.",Other / Unclear,App & Web Player Technical,0.3655041165745547,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,False,True
#feature request for @115888 As a user I want to see MY playlists that contain a song when I search for it in the search bar,Features & Product Feedback,Features & Product Feedback,0.23730266010088058,App & Web Player Technical,App & Web Player Technical | App & Web Player Technical | Other / Unclear,False,False
My @115888 won’t work while I’m using other apps what’s that about?,App & Web Player Technical,Playback & Streaming,0.24095509142453447,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,False,False
"@SpotifyCares Sure! It’s a concept album, so order is important. ☺️ Thanks! https://t.co/LRdM0G5fmo",Other / Unclear,Other / Unclear,0.4495310021507736,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares when are you guys gonna put up @40980 X Hit-Boy Collab album Courtesy Of Half-A-Mil I really wanna listen to that album guys,Content Availability,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | App & Web Player Technical | App & Web Player Technical,True,True
"hi @SpotifyCares i think im being charged twice, can you help??",Subscription & Billing,Subscription & Billing,0.3119762099059754,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,True,True
@SpotifyCares sent a DM! Was wondering if I could get some help :),Other / Unclear,Other / Unclear,0.36682078508364735,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares  Hi, I pay for preiumn, but can't access it, it tells me I am on Free, have tried sorting problem with web site but no luck, problem started when I git a new phone in August. Any ideas before I cancel my account. Thank you",Subscription & Billing,Subscription & Billing,0.15379476126468272,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
@115888 How do we hide this “Find Friends” window on the Mac app? I don’t use it and it’s a waste of space.,Features & Product Feedback,App & Web Player Technical,0.22456390715751764,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@SpotifyCares I have a problem with Spotify premium. Am I able to change which account has it because I bought it on the wrong account,Subscription & Billing,Subscription & Billing,0.2306565984976557,Account & Security,Account & Security | Subscription & Billing | Other / Unclear,False,True
@115888 but when will we be able to see how long our play queue is,Features & Product Feedback,Playback & Streaming,0.3802137840967661,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@115888 why isn’t star shopping by lil peep on spotify,Content Availability,Other / Unclear,0.35663261239957134,Features & Product Feedback,Features & Product Feedback | Other / Unclear | Other / Unclear,False,True
What? Kool Keith's album Dr. Octogonocologist isn't on @115888? Do I have to switch back to Google Play Music?,Content Availability,Playback & Streaming,0.18061324301092624,Playback & Streaming,Playback & Streaming | Other / Unclear | Subscription & Billing,True,True
"i was thinking, what if @115888 had achievements for like how many times you played a song or when someone else is listening to your playlist",Features & Product Feedback,"Playlist, Library & Sync",0.16103757409465214,App & Web Player Technical,"App & Web Player Technical | Other / Unclear | Playlist, Library & Sync",False,True
@SpotifyCares @137960,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
sometimes i wonder what kind of algorithm @115888 uses to create my weekly playlist... you've once again put some weird stuff together guys,Features & Product Feedback,"Playlist, Library & Sync",1.0,"Playlist, Library & Sync","Playlist, Library & Sync | Other / Unclear | Playlist, Library & Sync",True,True
@SpotifyCares Fasho thank you for the help,Other / Unclear,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares  I've been having issues connecting to the Desktop App at work. Can you help me with this?,App & Web Player Technical,App & Web Player Technical,0.30900670418721754,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4",App & Web Player Technical,Playback & Streaming,0.19875327544884303,Other / Unclear,Other / Unclear | App & Web Player Technical | App & Web Player Technical,False,False
"@137953 @137954 @SpotifyCares Spoti ont fait le nécessaire, plus qu'à expliquer que le Hamburger en version francisée se dira Hambourgeois en référence à la ville dont il est originaire et non ""Hamburgé"" et le monde sera meilleur. #hope  #change #sandwich #bullshit",Other / Unclear,Other / Unclear,0.22927598071864386,Playback & Streaming,Playback & Streaming | Other / Unclear | Other / Unclear,False,True
@SpotifyCares hey I just tried to save a new album to my library and it says my library is full. Is this a bug?,"Playlist, Library & Sync","Playlist, Library & Sync",0.30739108434741896,Subscription & Billing,"Subscription & Billing | Playlist, Library & Sync | Playlist, Library & Sync",False,True
@SpotifyCares does spotify including gaming content? Because it withdraws credit from my phone Rp 2.000/day. And it is everyday,Subscription & Billing,App & Web Player Technical,0.15980162260198116,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
"OK, it just happened again and I updated my account , @SpotifyCares can you help? Someone is hijacking my account.",Account & Security,Account & Security,0.2857122840457295,Other / Unclear,Other / Unclear | App & Web Player Technical | Other / Unclear,False,False
WHY IS THIS NOT ON @115888  !!!!      - I need to properly cry today and this is impeding that https://t.co/vxNWdnsnjT,Content Availability,Other / Unclear,0.22705075611426578,Other / Unclear,Other / Unclear | Other / Unclear | Features & Product Feedback,True,True
@SpotifyCares i have only Chrome... others are not allowed at office T_T,App & Web Player Technical,Other / Unclear,0.20705090426996706,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,True,True
"Hey @115888, how do you know the music I listened to 15 years ago? Actually need an answer to this one.",Features & Product Feedback,Other / Unclear,0.23803066688070706,Other / Unclear,"Other / Unclear | Playlist, Library & Sync | Other / Unclear",True,True
@SpotifyCares already tried with an other computer and for the password dont need it im loggin with my facebook account !,Account & Security,Account & Security,0.18632225530148636,Account & Security,Account & Security | Subscription & Billing | Other / Unclear,True,True
@SpotifyCares I can’t right click the track if the track is no longer viewable and/or no longer shows up when searched for.  My account is U.S.,Content Availability,Other / Unclear,0.182261601192534,Other / Unclear,Other / Unclear | Account & Security | Other / Unclear,True,True
@SpotifyCares https://t.co/7o1265L4mk I cannot even find it on the app anymore.  I'm set to United States.,Content Availability,App & Web Player Technical,0.4287900373998138,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,False,False
@SpotifyCares The link you sent talks about songs being removed. Im talking about the entire Spotify application going. See the picture. Always happening. https://t.co/TV4qAM8eZA,App & Web Player Technical,App & Web Player Technical,0.1724019499845341,Other / Unclear,Other / Unclear | App & Web Player Technical | Other / Unclear,False,True
@115888 Hey do you mean IDR 49.900?? cuz the last time i checked it's not IDR 4.900 for sure,Subscription & Billing,Other / Unclear,0.2342338458317194,Other / Unclear,Other / Unclear | Subscription & Billing | Other / Unclear,True,True
"@SpotifyCares It doesn't appear to make a difference on wi-fi or data. I don't use it on another device so no idea, sorry",App & Web Player Technical,App & Web Player Technical,1.0000000000000002,App & Web Player Technical,"App & Web Player Technical | Other / Unclear | Playlist, Library & Sync",True,True
@115888 @SpotifyCares,Other / Unclear,Other / Unclear,1.0,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
